file	line	kind	key	speaker	english	japanese	chinese	note
AR_DE_SUBBAY.TXT	0	hud	MissionDescription		Emden U-Boat Station	Emden U-Boat Station	埃姆登U型潜艇基地	
AR_DE_SUBBAY.TXT	2	voice	a2s18_soldier1_1.wav	Soldier1	Soldier: Mein Gott! Sir! Everyone's dead!	クソッ! 基地は 全滅しました！	该死！基地已经全军覆没了！	
AR_DE_SUBBAY.TXT	3	voice	a2s18_Soldier2_1.wav	Soldier2	Soldier: Order from G.G.G. Oberscharfuhrer. Unload the crates.	G・G・G上級指揮官殿の命令だ\nただちに積荷を降ろせ	这是反幽灵小组高级指挥官的命令。\n立刻卸下货物！	
AR_DE_SUBBAY.TXT	4	voice	a2s18_soldier1_2.wav	Soldier1	Soldier: Yes sir!	わかりました！	明白！	
AR_DE_SUBBAY.TXT	5	voice	a2s18_rayne1.wav	$	Rayne: How did this...?!			
AR_DE_SUBBAY.TXT	6	voice	a2s18_rayne2.wav	$	Rayne: New objectives and another target list.	新しい任務が追加されたようね	看来又有新任务了。	
AR_DE_SUBBAY.TXT	7	voice	a2s18_rayne3.wav	$	"Rayne: ""In the preliminary G.G.G. headquarters at Falkenburg a Nazi officer has your next target list..."	「フォーケンバーグ城に設営された仮指令所のナチス将校が\n暗殺リストを所持...	“设在福肯堡城临时指挥所的一名纳粹军官，\n持有暗杀名单……	
AR_DE_SUBBAY.TXT	8	voice	a2s18_rayne4.wav	$	"Rayne: ...terminate him and obtain the file."""	始末した後 リストを入手せよ」	干掉他后，拿到名单。”	
AR_DE_SUBBAY.TXT	10	hud	OST_Emden		1938 - Emden U-boat Shipyard, Germany.	1938年 ドイツ軍エムデンUボート基地	1938年，德军埃姆登U型潜艇基地	
AR_DE_SUBBAY.TXT	12	hud	ObjectiveFindExit		Find the exit.	出口に向え	前往出口	
AR_GH_BARRACKS.TXT	0	hud	MissionDescription		The Barracks	The Barracks	兵营	
AR_GH_BARRACKS.TXT	2	voice	a2s2_rayne7.wav	$	Rayne: Can't leave yet.	まだ行けないわ	现在还不能走。	
AR_GH_BARRACKS.TXT	3	voice	a2s2_rayne8.wav	$	Rayne: I haven't met all the objectives.	まだ任務が残ってる	任务还没完成。	
AR_GH_BARRACKS.TXT	4	voice	a2s2_rayne9.wav	$	Rayne: There are still targets in this area.	やり残していることがあるはずよ	我应该还有事没做完。	
AR_GH_BARRACKS.TXT	5	voice	a2s2_rayne10.wav	$	Rayne: No, I've got things to do first.	他にやることがあるはずよ	我应该还有别的事要办。	
AR_GH_BARRACKS.TXT	6	voice	a2s2_rayne11.wav	$	Rayne: No, I'm not done here.	まだやることがある	这里的事还没结束。	
AR_GH_BARRACKS.TXT	8	voice	a2s7_PAVoice2.wav	PAVoice	P.A. Voice: Code Zeus! Repeat: Code Zeus!	コード・ゼウス！ 繰り返す\nコード・ゼウス！	宙斯警报！\n重复，宙斯警报！	
AR_GH_BARRACKS.TXT	9	voice	a2s7_PAVoice3.wav	PAVoice	P.A. Voice: Science lab security breach!  All personnel, abandon pursuit!  Report to the science lab immediately!	研究所で問題が発生！\n総員 作業を中止しただちに研究施設に直行せよ！	研究所发生事故！\n全员立刻停止作业，赶往研究设施！	
AR_GH_BARRACKS.TXT	10	voice	a2s7_PAVoice4.wav	PAVoice	P.A. Voice: Get over here now!  They're loose!  The Daem- aargh!	すぐ来てくれ！ 封鎖を破られた！\nデアマイツが...！	快来帮忙！封锁被突破了！\n魔蛭……！	
AR_GH_BARRACKS.TXT	11	voice	a2s7_Daemite2.wav	Daemite	Daemite: Hehehehehe.			
AR_GH_BARRACKS.TXT	12	voice	a2s7_rayne5.wav	$	Rayne: Sounds like they have their own problems.  I'm done here.	レリックを発見しても持ち出せない理由があるようだし	看来他们发现了圣物却没能带走，肯定有什么原因。	
AR_GH_BARRACKS.TXT	13	voice	a2s7_rayne6.wav	$	Rayne: I need to get into the basement.  An officer should have what I need.	地下に潜入して\n調べる必要がありそうだわ	我得潜入地下，\n把事情查清楚。	
AR_GH_BARRACKS.TXT	14	voice	a2s7_rayne7.wav	$	Rayne: I should search an officer's body before I go.	ここには将校がもう一人残っていたわね	这里还剩一个军官没解决。	
AR_GH_BARRACKS.TXT	16	voice	a2s7_subofficer4.wav	TargetOfficerKitchen	Officer: What's wrong with you? Kill her! Kill her goddammit!	お前ここで何してるんだ？　女を始末しろ！	你们在这里干什么？快干掉那个女人！	
AR_GH_BARRACKS.TXT	18	voice	a2s8_rayne1.wav	$	Rayne: I need a control turnkey for the basement.  I'll worry about that later.	コントロールキーが要る 先にキーを見つけなきゃ	我需要控制钥匙，得先把钥匙找出来。	
AR_GH_BARRACKS.TXT	19	voice	a2s8_rayne2.wav	$	Rayne: The turnkey I found should work...	このキーで開けられるはず...	这把钥匙应该能打开……	
AR_GH_BARRACKS.TXT	21	voice	a2s8_soldier1_1.wav	SoldierTrapped1	Soldier: There's the intruder!	侵入者だ！	有入侵者！	
AR_GH_BARRACKS.TXT	22	voice	a2s8_soldier2_1.wav	SoldierTrapped2	Soldier: Open the door!	シャッターを開けろ！	快打开闸门！	
AR_GH_BARRACKS.TXT	23	voice	a2s8_soldier3_1.wav	SoldierTrapped3	Soldier: I'm trying!  It's jammed.	やってるが故障してるぞ	我正在开，可它出故障了！	
AR_GH_BARRACKS.TXT	24	voice	a2s8_soldier2_2.wav	SoldierTrapped2	Soldier: You stay right there Weib!	お前はそこにいろ	你待在那里别动！	
AR_GH_BARRACKS.TXT	25	voice	a2s8_soldier3_2.wav	SoldierTrapped3	Soldier: It's not working!	動かないぞ！	它动不了！	
AR_GH_BARRACKS.TXT	26	voice	a2s8_soldier3_3.wav	SoldierTrapped3	Soldier: What are you doing!?	お前何してる！？	你在干什么！？	
AR_GH_BARRACKS.TXT	27	voice	a2s8_rayne3.wav	$	Rayne: What does it look like? I'm lowering the lift.	見たまんまよ リフトを下ろしてる	你看不出来吗？我在把升降机降下来。	
AR_GH_BARRACKS.TXT	28	voice	a2s8_soldier2_3.wav	SoldierTrapped2	Soldier: Turn it off!	止めるんだ	快停下！	
AR_GH_BARRACKS.TXT	29	voice	a2s8_soldier3_4.wav	SoldierTrapped3	Soldier: I can't!	だめだ！	停不下来！	
AR_GH_BARRACKS.TXT	30	voice	a2s8_soldier2_4.wav	SoldierTrapped2	Soldier: Stop the lift!  Please!	リフトを止めて お願いです	求你了，快停下升降机！	
AR_GH_BARRACKS.TXT	31	voice	a2s8_soldier3_5.wav	SoldierTrapped3	Soldier: You can't do this!	まさか そんなことを！	你怎么能这么做！	
AR_GH_BARRACKS.TXT	32	voice	a2s8_rayne4.wav	$	Rayne: You really should pay more attention to safety.  As you know, most accidents in the workplace can be prevented.	もっと安全に心掛けるべきだったわね\n事故というのはちょっとした心掛けで防げるの	你们平时应该更注意安全。\n事故这种东西，只要稍微留心就能避免。	
AR_GH_BARRACKS.TXT	34	voice	a2s8_soldier1_2.wav	Soldier1	Soldier: Sir!  With all due respect, this is a bad-	状況は 非常に悪化しております	长官，情况已经非常糟糕了。	
