file	line	kind	key	speaker	english	chinese	note
AR_DE_SUBBAY.TXT	0	hud	MissionDescription		Emden U-Boat Station	埃姆登潜艇基地	
AR_DE_SUBBAY.TXT	2	voice	a2s18_soldier1_1.wav	Soldier1	Soldier: Mein Gott! Sir! Everyone's dead!	士兵：我的天！长官！人全死了！	
AR_DE_SUBBAY.TXT	3	voice	a2s18_Soldier2_1.wav	Soldier2	Soldier: Order from G.G.G. Oberscharfuhrer. Unload the crates.	士兵：反幽灵小组的一名党卫队高级小队长下令，把箱子卸下来。	
AR_DE_SUBBAY.TXT	4	voice	a2s18_soldier1_2.wav	Soldier1	Soldier: Yes sir!	士兵：是，长官！	
AR_DE_SUBBAY.TXT	5	voice	a2s18_rayne1.wav	$	Rayne: How did this...?!	莱恩：这到底是怎么……？！	
AR_DE_SUBBAY.TXT	6	voice	a2s18_rayne2.wav	$	Rayne: New objectives and another target list.	莱恩：新任务，还有一份新的目标名单。	
AR_DE_SUBBAY.TXT	7	voice	a2s18_rayne3.wav	$	"Rayne: ""In the preliminary G.G.G. headquarters at Falkenburg a Nazi officer has your next target list..."	莱恩：“在法尔肯堡的反幽灵小组临时总部，\n一名纳粹军官手里有你的下一份目标名单……	
AR_DE_SUBBAY.TXT	8	voice	a2s18_rayne4.wav	$	"Rayne: ...terminate him and obtain the file."""	莱恩：……干掉他，拿到文件。”	
AR_DE_SUBBAY.TXT	10	hud	OST_Emden		1938 - Emden U-boat Shipyard, Germany.	1938年 - 德国，埃姆登潜艇造船厂	
AR_DE_SUBBAY.TXT	12	hud	ObjectiveFindExit		Find the exit.	找到出口	
AR_GH_BARRACKS.TXT	0	hud	MissionDescription		The Barracks	兵营	
AR_GH_BARRACKS.TXT	2	voice	a2s2_rayne7.wav	$	Rayne: Can't leave yet.	莱恩：现在还不能走。	
AR_GH_BARRACKS.TXT	3	voice	a2s2_rayne8.wav	$	Rayne: I haven't met all the objectives.	莱恩：任务还没全完成。	
AR_GH_BARRACKS.TXT	4	voice	a2s2_rayne9.wav	$	Rayne: There are still targets in this area.	莱恩：这片区域还有目标没解决。	
AR_GH_BARRACKS.TXT	5	voice	a2s2_rayne10.wav	$	Rayne: No, I've got things to do first.	莱恩：不行，我还有事要办。	
AR_GH_BARRACKS.TXT	6	voice	a2s2_rayne11.wav	$	Rayne: No, I'm not done here.	莱恩：不行，这里的事还没完。	
